budget_pct,method,accuracy,macro_f1,recall_attack,roc_auc,FAR,true_labels,pseudo_labels,pseudo_label_precision,macro_f1_gain,runtime_s,macro_f1_std
1.0,Few-label lower baseline,0.9909995634116581,0.9822357750956177,0.9576554490751059,0.9962773709225076,0.003084304318026045,2680.0,0.0,,,0.712963299999501,
1.0,Pseudo-labelling,0.9899808572803904,0.9801057916019887,0.9471064556867989,0.9953076782622857,0.002412084146148574,2680.0,5360.0,0.9988805970149254,-0.0021299834936289175,2.84977600000002,
1.0,Co-training,0.989745771250098,0.9796089712204885,0.9445806403684719,0.9965344281058035,0.002240733906258238,2680.0,7682.0,1.0,-0.0026268038751291467,5.756259699999646,
5.0,Few-label lower baseline,0.9969438816061973,0.9940183225944952,0.987445212094198,0.9996066909160259,0.0013708019191226869,13399.0,0.0,,,0.8667205000001559,
5.0,Pseudo-labelling,0.9971229947721345,0.9943709670289338,0.9884852536958622,0.9995167490044359,0.0013444403437549428,13399.0,26800.0,1.0,0.00035264443443860927,4.0859872999999425,
5.0,Co-training,0.9968207413046155,0.9937625745187307,0.9841765099175396,0.9995061865531509,0.0009358359255549111,13399.0,40088.0,1.0,-0.00025574807576445036,6.963270700000066,
10.0,Few-label lower baseline,0.9968207413046155,0.9937927015110051,0.9900453160983582,0.9997411376921149,0.001977118152580798,26798.0,0.0,,,0.7988191000004008,
10.0,Pseudo-labelling,0.9974700265311377,0.995050107053411,0.9896738726691925,0.999779448732047,0.0011467285284968629,26798.0,53596.0,1.0,0.0012574055424059427,4.623941300000297,
10.0,Co-training,0.9972685242194584,0.9946463530014467,0.9868509026075328,0.9997065558721437,0.0008831127748194232,26798.0,76134.0,0.9999474610555074,0.0008536514904415871,8.65088999999989,
100.0,Full-label same-model ceiling,0.9978842257273673,0.9958860248401146,0.9985885149691702,0.9999535867070637,0.002240733906258238,267984.0,0.0,,,4.660353500000383,
100.0,Lab 1 full-label Random Forest,0.9984,0.9968,0.9923,0.9999,0.0006,267984.0,0.0,,,,
